x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-2.100000E+00,,,,
-2.095000E+00,,,,
-2.090000E+00,,,,
-2.085000E+00,,,,
-2.080000E+00,,,,
-2.075000E+00,,,,
-2.070000E+00,,,,
-2.065000E+00,,,,
-2.060000E+00,,,,
-2.055000E+00,,,,
-2.050000E+00,,,,
-2.045000E+00,,,,
-2.040000E+00,,,,
-2.035000E+00,,,,
-2.030000E+00,,,,
-2.025000E+00,,,,
-2.020000E+00,,,,
-2.015000E+00,,,,
-2.010000E+00,,,,
-2.005000E+00,,,,
-2.000000E+00,,,,
-1.995000E+00,,,,
-1.990000E+00,,,,
-1.985000E+00,,,,
-1.980000E+00,,,,
-1.975000E+00,,,,
-1.970000E+00,,,,
-1.965000E+00,,,,
-1.960000E+00,,,,
-1.955000E+00,,,,
-1.950000E+00,,,,
-1.945000E+00,,,,
-1.940000E+00,,,,
-1.935000E+00,,,,
-1.930000E+00,,,,
-1.925000E+00,,,,
-1.920000E+00,,,,
-1.915000E+00,,,,
-1.910000E+00,,,,
-1.905000E+00,,,,
-1.900000E+00,,,,
-1.895000E+00,,,,
-1.890000E+00,,,,
-1.885000E+00,,,,
-1.880000E+00,,,,
-1.875000E+00,,,,
-1.870000E+00,,,,
-1.865000E+00,,,,
-1.860000E+00,,,,
-1.855000E+00,,,,
-1.850000E+00,,,,
-1.845000E+00,,,,
-1.840000E+00,,,,
-1.835000E+00,,,,
-1.830000E+00,,,,
-1.825000E+00,,,,
-1.820000E+00,,,,
-1.815000E+00,,,,
-1.810000E+00,,,,
-1.805000E+00,,,,
-1.800000E+00,,,,
-1.795000E+00,,,,
-1.790000E+00,,,,
-1.785000E+00,,,,
-1.780000E+00,,,,
-1.775000E+00,,,,
-1.770000E+00,,,,
-1.765000E+00,,,,
-1.760000E+00,,,,
-1.755000E+00,,,,
-1.750000E+00,,,,
-1.745000E+00,,,,
-1.740000E+00,,,,
-1.735000E+00,,,,
-1.730000E+00,,,,
-1.725000E+00,,,,
-1.720000E+00,,,,
-1.715000E+00,,,,
-1.710000E+00,,,,
-1.705000E+00,,,,
-1.700000E+00,,,,
-1.695000E+00,,,,
-1.690000E+00,,,,
-1.685000E+00,,,,
-1.680000E+00,,,,
-1.675000E+00,,,,
-1.670000E+00,,,,
-1.665000E+00,,,,
-1.660000E+00,,,,
-1.655000E+00,,,,
-1.650000E+00,,,,
-1.645000E+00,,,,
-1.640000E+00,,,,
-1.635000E+00,,,,
-1.630000E+00,,,,
-1.625000E+00,,,,
-1.620000E+00,,,,
-1.615000E+00,,,,
-1.610000E+00,,,,
-1.605000E+00,,,,
-1.600000E+00,,,,
-1.595000E+00,,,,
-1.590000E+00,,,,
-1.585000E+00,,,,
-1.580000E+00,,,,
-1.575000E+00,,,,
-1.570000E+00,,,,
-1.565000E+00,,,,
-1.560000E+00,,,,
-1.555000E+00,,,,
-1.550000E+00,,,,
-1.545000E+00,,,,
-1.540000E+00,,,,
-1.535000E+00,,,,
-1.530000E+00,,,,
-1.525000E+00,,,,
-1.520000E+00,,,,
-1.515000E+00,,,,
-1.510000E+00,,,,
-1.505000E+00,,,,
-1.500000E+00,,,,
-1.495000E+00,,,,
-1.490000E+00,,,,
-1.485000E+00,,,,
-1.480000E+00,,,,
-1.475000E+00,,,,
-1.470000E+00,,,,
-1.465000E+00,,,,
-1.460000E+00,,,,
-1.455000E+00,,,,
-1.450000E+00,,,,
-1.445000E+00,,,,
-1.440000E+00,,,,
-1.435000E+00,,,,
-1.430000E+00,,,,
-1.425000E+00,,,,
-1.420000E+00,,,,
-1.415000E+00,,,,
-1.410000E+00,,,,
-1.405000E+00,,,,
-1.400000E+00,,,,
-1.395000E+00,,,,
-1.390000E+00,,,,
-1.385000E+00,,,,
-1.380000E+00,,,,
-1.375000E+00,,,,
-1.370000E+00,,,,
-1.365000E+00,,,,
-1.360000E+00,,,,
-1.355000E+00,,,,
-1.350000E+00,,,,
-1.345000E+00,,,,
-1.340000E+00,,,,
-1.335000E+00,,,,
-1.330000E+00,,,,
-1.325000E+00,,,,
-1.320000E+00,,,,
-1.315000E+00,,,,
-1.310000E+00,,,,
-1.305000E+00,,,,
-1.300000E+00,,,,
-1.295000E+00,,,,
-1.290000E+00,,,,
-1.285000E+00,,,,
-1.280000E+00,,,,
-1.275000E+00,,,,
-1.270000E+00,,,,
-1.265000E+00,,,,
-1.260000E+00,,,,
-1.255000E+00,,,,
-1.250000E+00,,,,
-1.245000E+00,,,,
-1.240000E+00,,,,
-1.235000E+00,,,,
