x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+380.000E-03,-12.300E-03,-5.010E-03,-3.767E-03,-35.168E-03
+385.000E-03,-91E-06,-5.010E-03,-3.767E-03,-35.168E-03
+390.000E-03,+9.724E-03,-5.010E-03,-3.767E-03,-35.168E-03
+395.000E-03,-2.581E-03,-5.010E-03,-3.767E-03,-35.168E-03
+400.000E-03,-12.795E-03,-5.010E-03,-3.767E-03,-35.168E-03
+405.000E-03,+5E-06,-5.010E-03,-3.767E-03,-35.168E-03
+410.000E-03,+10.058E-03,-5.010E-03,-3.767E-03,-35.168E-03
+415.000E-03,-2.343E-03,-5.010E-03,-3.767E-03,-35.168E-03
+420.000E-03,-12.769E-03,-5.010E-03,-3.767E-03,-35.168E-03
+425.000E-03,-349E-06,-5.010E-03,-3.767E-03,-35.168E-03
+430.000E-03,+9.383E-03,-5.010E-03,-3.767E-03,-35.168E-03
+435.000E-03,-3.237E-03,-5.010E-03,-3.767E-03,-35.168E-03
+440.000E-03,-13.612E-03,-5.010E-03,-3.767E-03,-35.168E-03
+445.000E-03,-510E-06,-5.010E-03,-3.767E-03,-35.168E-03
+450.000E-03,+9.492E-03,-4.859E-03,-3.767E-03,-35.168E-03
+455.000E-03,-2.529E-03,-5.010E-03,-3.767E-03,-35.168E-03
+460.000E-03,-12.428E-03,-5.010E-03,-3.767E-03,-35.520E-03
+465.000E-03,+648E-06,-4.758E-03,-3.767E-03,-35.319E-03
+470.000E-03,+10.747E-03,-5.010E-03,-3.767E-03,-36.374E-03
+475.000E-03,-1.571E-03,-5.010E-03,-3.767E-03,-35.419E-03
+480.000E-03,-11.573E-03,-5.010E-03,-3.767E-03,-36.424E-03
+485.000E-03,+803E-06,-5.010E-03,-3.767E-03,-35.821E-03
+490.000E-03,+10.682E-03,-5.010E-03,-3.767E-03,-36.424E-03
+495.000E-03,-1.629E-03,-5.010E-03,-3.767E-03,-36.424E-03
+500.000E-03,-11.894E-03,-5.010E-03,-3.767E-03,-36.424E-03
+505.000E-03,+976E-06,-5.010E-03,-3.767E-03,-36.424E-03
+510.000E-03,+10.567E-03,-5.010E-03,-3.767E-03,-36.022E-03
+515.000E-03,-2.098E-03,-5.010E-03,-3.767E-03,-35.168E-03
+520.000E-03,-12.570E-03,-5.010E-03,-3.767E-03,-35.168E-03
+525.000E-03,+5E-06,-5.010E-03,-3.767E-03,-35.419E-03
+530.000E-03,+9.750E-03,-5.010E-03,-3.767E-03,-36.424E-03
