x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+375.000E-03,-11.937E-03,-4.758E-03,-3.767E-03,-36.424E-03
+380.000E-03,-9.580E-03,-4.758E-03,-3.767E-03,-36.424E-03
+385.000E-03,+7.479E-03,-5.010E-03,-3.767E-03,-36.022E-03
+390.000E-03,+5.287E-03,-4.758E-03,-3.767E-03,-35.168E-03
+395.000E-03,-11.591E-03,-4.758E-03,-3.767E-03,-35.620E-03
+400.000E-03,-9.547E-03,-4.758E-03,-3.767E-03,-36.424E-03
+405.000E-03,+7.908E-03,-4.758E-03,-3.777E-03,-36.424E-03
+410.000E-03,+5.403E-03,-4.758E-03,-4.019E-03,-35.168E-03
+415.000E-03,-11.838E-03,-4.758E-03,-3.767E-03,-35.520E-03
+420.000E-03,-9.448E-03,-4.758E-03,-4.019E-03,-35.168E-03
+425.000E-03,+7.595E-03,-4.758E-03,-4.019E-03,-35.168E-03
+430.000E-03,+5.205E-03,-4.758E-03,-3.767E-03,-35.168E-03
+435.000E-03,-12.069E-03,-4.758E-03,-3.787E-03,-36.324E-03
+440.000E-03,-9.728E-03,-4.758E-03,-3.767E-03,-35.168E-03
+445.000E-03,+7.776E-03,-4.758E-03,-3.828E-03,-35.168E-03
+450.000E-03,+4.958E-03,-4.758E-03,-3.868E-03,-35.168E-03
+455.000E-03,-11.789E-03,-4.758E-03,-3.878E-03,-36.424E-03
+460.000E-03,-9.547E-03,-4.758E-03,-4.019E-03,-36.073E-03
+465.000E-03,+7.677E-03,-4.758E-03,-3.988E-03,-35.319E-03
+470.000E-03,+5.502E-03,-4.758E-03,-3.767E-03,-35.168E-03
+475.000E-03,-12.019E-03,-4.758E-03,-3.767E-03,-35.168E-03
+480.000E-03,-9.563E-03,-4.758E-03,-3.767E-03,-35.972E-03
+485.000E-03,+7.578E-03,-4.758E-03,-3.767E-03,-35.168E-03
+490.000E-03,+5.287E-03,-4.839E-03,-4.019E-03,-36.424E-03
+495.000E-03,-11.854E-03,-4.970E-03,-4.019E-03,-36.223E-03
+500.000E-03,-9.877E-03,-4.758E-03,-4.019E-03,-36.424E-03
+505.000E-03,+7.661E-03,-4.758E-03,-4.019E-03,-35.369E-03
+510.000E-03,+5.320E-03,-4.758E-03,-4.019E-03,-35.570E-03
+515.000E-03,-11.789E-03,-4.758E-03,-4.019E-03,-35.771E-03
+520.000E-03,-9.366E-03,-4.758E-03,-4.019E-03,-35.168E-03
+525.000E-03,+7.842E-03,-4.758E-03,-3.767E-03,-36.424E-03
